id,english,filipino,taglish
330,Explain how to design software architecture.,Ipaliwanag kung paano magdisenyo ng arkitektura ng software.,I-explain kung paano mag-design ng software architecture.
331,Find the tone in this poem.,Hanapin ang tono sa tulang ito.,Hanapin ang tone ng poem.
332,Write an essay about the societal implications of artificial intelligence,Sumulat ng isang sanaysay tungkol sa panlipunang implikasyon ng artificial intelligence,Sumulat ng essay about sa societal implications ng artifical intelligence.
333,What are two potential risks associated with using cloud storage?,Ano ang dalawang potensyal na panganib na nauugnay sa paggamit ng cloud storage?,Magbigay ng dalawang potential risks sa paggamit ng cloud storage.
334,What conclusion can be drawn from the given data?,Anong konklusyon ang maaaring makuha mula sa ibinigay na datos?,Ano ang conclusion na pwedeng makuha from the data?
335,Identify an interesting fact about Saturn.,Tukuyin ang isang kawili-wiling katotohanan tungkol sa Saturn.,Magbigay ng interesting fact about sa Saturn.
336,Edit the following sentence to make it sound more formal: “we spoke on the phone”," I-edit ang sumusunod na pangungusap para maging mas pormal ito: ""nag-usap kami sa telepono""","I-edit ang sentence para maging mas formal: ""we spoke on the phone""."
337,Construct a tweet that is a response to a tweet about the benefits of exercise.,Bumuo ng isang tweet na isang tugon sa isang tweet tungkol sa mga benepisyo ng ehersisyo.,Gumawa ng tweet bilang response sa tweet tungkol sa benefits ng exercise.
338,"Describe the painting ""The Starry Night"" by Vincent Van Gogh in one sentence."," Ilarawan ang pagpipinta na ""The Starry Night"" ni Vincent Van Gogh sa isang pangungusap.","I-describe ang painting na ""The Starry Night"" ni Van Gogh in one sentence."
339,Identify which version of the following book is newer.,Tukuyin kung aling bersyon ng sumusunod na aklat ang mas bago.,Tukuyin kung alin ang newer version ng book.
340,Describe the main idea of this short story,Ilarawan ang pangunahing ideya ng maikling kuwentong ito,I-describe ang main idea ng short story.
341,Name two animals that can be found in the African savanna.,Magbigay ng dalawang hayop na makikita sa African savanna.,Mag-name ng two animals na makikita sa African savanna.
342,Suggest a suitable card game for a birthday party with 10 year old kids.,Magmungkahi ng angkop na laro ng card para sa isang birthday party na may 10 taong gulang na mga bata.,Mag-suggest ng card game na bagay sa birthday party ng mga 10 year old kids.
343,Create a slogan for SpaceX,Gumawa ng slogan para sa SpaceX,Gumawa ng slogan para sa SpaceX.
344,What are some common parenting strategies to instill discipline in a child?,Ano ang ilang karaniwang diskarte sa pagiging magulang upang maitanim ang disiplina sa isang bata?,Ano ang common parenting strategies para magturo ng discipline sa bata?
345,Generate a plausible list of five items that might be packed for a day-long hike,Bumuo ng isang makatwirang listahan ng limang mga item na maaaring nakaimpake para sa isang maghapong paglalakad,Gumawa ng plausible list ng 5 items na dadalhin sa day-long hike.
346,Describe what emotional intelligence is.,Ilarawan kung ano ang emosyonal na katalinuhan.,I-describe kung ano ang emotional intelligence.
347,Update the following table with a new column,I-update ang sumusunod na talahanayan gamit ang isang bagong column,I-update ang table at mag-add ng bagong column.
348,"Reverse the terms of the series 2,4,6,8,....","Baligtarin ang mga tuntunin ng serye 2,4,6,8,....","I-reverse ang terms ng series na 2, 4, 6, 8, ..."
349,Give three example of plants that thrive in shade.,Magbigay ng tatlong halimbawa ng mga halaman na namumulaklak sa lilim.,Magbigay ng three plants na mag-thrive sa shade.
350,"Classify the following sentece as a statement or question: ""The cat jumped onto the table.""","Uriin ang sumusunod na pangungusap bilang isang pahayag o tanong: ""Ang pusa ay tumalon sa mesa.""","Classify the following sentence bilang isang statement o question: ""Ang pusa ay tumalon sa table."""
